============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run18_multi_bignet_weighted.json
Job ID:     163144
Node:       sh21
Extra args: 
Start time: Sat Mar 28 06:45:39 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run18_multi_bignet_weighted.json) ==========

Using config file: configs/run18_multi_bignet_weighted.json
Run directory: outputs/run_018
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 47,938,133
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 60000
============================================================
Ep 775/60000 (1345s) | R: -303.3 | SWAPs: 318 | Gates: 39% | Done: 28% | Loss: 0.004 | Q: -1.2 | ε: 0.955 | Steps: 230823 | ep_time: 2.4s
Ep 800/60000 (1390s) | R: -294.2 | SWAPs: 305 | Gates: 42% | Done: 32% | Loss: 0.005 | Q: -1.2 | ε: 0.953 | Steps: 238444 | ep_time: 2.4s
Ep 825/60000 (1433s) | R: -270.2 | SWAPs: 292 | Gates: 53% | Done: 44% | Loss: 0.006 | Q: -1.1 | ε: 0.952 | Steps: 245756 | ep_time: 1.1s
Ep 850/60000 (1485s) | R: -342.9 | SWAPs: 352 | Gates: 32% | Done: 20% | Loss: 0.005 | Q: -1.2 | ε: 0.950 | Steps: 254564 | ep_time: 2.4s
Ep 875/60000 (1536s) | R: -325.8 | SWAPs: 338 | Gates: 37% | Done: 24% | Loss: 0.006 | Q: -1.2 | ε: 0.948 | Steps: 263021 | ep_time: 2.4s
Ep 900/60000 (1584s) | R: -312.2 | SWAPs: 328 | Gates: 41% | Done: 28% | Loss: 0.005 | Q: -1.2 | ε: 0.947 | Steps: 271226 | ep_time: 2.4s
Ep 925/60000 (1621s) | R: -223.4 | SWAPs: 249 | Gates: 61% | Done: 52% | Loss: 0.006 | Q: -1.2 | ε: 0.946 | Steps: 277462 | ep_time: 0.6s
Ep 950/60000 (1661s) | R: -252.6 | SWAPs: 273 | Gates: 53% | Done: 44% | Loss: 0.005 | Q: -1.2 | ε: 0.944 | Steps: 284294 | ep_time: 2.4s
Ep 975/60000 (1702s) | R: -248.5 | SWAPs: 274 | Gates: 57% | Done: 48% | Loss: 0.006 | Q: -1.3 | ε: 0.943 | Steps: 291147 | ep_time: 2.4s
Ep 1000/60000 (1740s) | R: -235.5 | SWAPs: 259 | Gates: 59% | Done: 52% | Loss: 0.006 | Q: -1.3 | ε: 0.942 | Steps: 297618 | ep_time: 2.4s
