============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run4_multi_fixed.json
Job ID:     162434
Node:       sh06
Extra args: 
Start time: Fri Mar 27 09:51:33 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run4_multi_fixed.json) ==========

Using config file: configs/run4_multi_fixed.json
Run directory: outputs/run_013
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 775/45000 (542s) | R: -185.8 | SWAPs: 216 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.0 | ε: 0.965 | Steps: 173182 | ep_time: 0.2s
Ep 800/45000 (562s) | R: -227.9 | SWAPs: 246 | Gates: 59% | Done: 52% | Loss: 0.010 | Q: -1.1 | ε: 0.964 | Steps: 179336 | ep_time: 1.3s
Ep 825/45000 (577s) | R: -161.2 | SWAPs: 190 | Gates: 76% | Done: 72% | Loss: 0.010 | Q: -1.1 | ε: 0.963 | Steps: 184097 | ep_time: 0.2s
Ep 850/45000 (592s) | R: -157.2 | SWAPs: 184 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.1 | ε: 0.962 | Steps: 188709 | ep_time: 1.3s
Ep 875/45000 (605s) | R: -145.7 | SWAPs: 175 | Gates: 83% | Done: 80% | Loss: 0.009 | Q: -1.1 | ε: 0.961 | Steps: 193080 | ep_time: 0.3s
Ep 900/45000 (622s) | R: -183.0 | SWAPs: 213 | Gates: 73% | Done: 68% | Loss: 0.009 | Q: -1.1 | ε: 0.960 | Steps: 198403 | ep_time: 1.3s
Ep 925/45000 (636s) | R: -137.8 | SWAPs: 170 | Gates: 83% | Done: 80% | Loss: 0.008 | Q: -1.1 | ε: 0.959 | Steps: 202665 | ep_time: 1.3s
Ep 950/45000 (653s) | R: -195.2 | SWAPs: 219 | Gates: 69% | Done: 64% | Loss: 0.009 | Q: -1.1 | ε: 0.958 | Steps: 208140 | ep_time: 1.3s
Ep 975/45000 (670s) | R: -180.8 | SWAPs: 207 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.957 | Steps: 213314 | ep_time: 0.6s
Ep 1000/45000 (686s) | R: -170.1 | SWAPs: 199 | Gates: 73% | Done: 68% | Loss: 0.007 | Q: -1.1 | ε: 0.956 | Steps: 218278 | ep_time: 1.3s

--- Evaluation at episode 1000 ---
  EVAL | Agent: 184.7 SABRE: 77.7 | Ratio: 2.26 | Done: 62%
Saved: outputs/run_013/figures/training_curves.png
Saved: outputs/run_013/figures/eval_comparison_ep1000.png
Ep 1025/45000 (743s) | R: -202.1 | SWAPs: 230 | Gates: 67% | Done: 60% | Loss: 0.009 | Q: -1.1 | ε: 0.955 | Steps: 224032 | ep_time: 1.3s
Ep 1050/45000 (759s) | R: -181.0 | SWAPs: 203 | Gates: 70% | Done: 64% | Loss: 0.009 | Q: -1.1 | ε: 0.954 | Steps: 229117 | ep_time: 0.2s
Ep 1075/45000 (779s) | R: -221.7 | SWAPs: 246 | Gates: 63% | Done: 56% | Loss: 0.009 | Q: -1.1 | ε: 0.953 | Steps: 235260 | ep_time: 0.5s
Ep 1100/45000 (795s) | R: -188.4 | SWAPs: 219 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.952 | Steps: 240730 | ep_time: 0.2s
Ep 1125/45000 (813s) | R: -214.3 | SWAPs: 235 | Gates: 63% | Done: 56% | Loss: 0.008 | Q: -1.1 | ε: 0.951 | Steps: 246603 | ep_time: 1.3s
Ep 1150/45000 (826s) | R: -120.7 | SWAPs: 159 | Gates: 90% | Done: 88% | Loss: 0.009 | Q: -1.1 | ε: 0.950 | Steps: 250588 | ep_time: 0.3s
Ep 1175/45000 (843s) | R: -183.3 | SWAPs: 209 | Gates: 70% | Done: 64% | Loss: 0.010 | Q: -1.1 | ε: 0.949 | Steps: 255804 | ep_time: 1.4s
Ep 1200/45000 (859s) | R: -174.7 | SWAPs: 202 | Gates: 74% | Done: 68% | Loss: 0.007 | Q: -1.2 | ε: 0.948 | Steps: 260842 | ep_time: 0.3s
Ep 1225/45000 (876s) | R: -185.1 | SWAPs: 217 | Gates: 73% | Done: 68% | Loss: 0.007 | Q: -1.1 | ε: 0.947 | Steps: 266267 | ep_time: 0.4s
Ep 1250/45000 (892s) | R: -158.3 | SWAPs: 188 | Gates: 77% | Done: 72% | Loss: 0.007 | Q: -1.2 | ε: 0.946 | Steps: 270957 | ep_time: 0.2s
Ep 1275/45000 (908s) | R: -178.9 | SWAPs: 208 | Gates: 73% | Done: 68% | Loss: 0.009 | Q: -1.2 | ε: 0.945 | Steps: 276166 | ep_time: 1.4s
Ep 1300/45000 (922s) | R: -146.1 | SWAPs: 174 | Gates: 81% | Done: 76% | Loss: 0.007 | Q: -1.2 | ε: 0.944 | Steps: 280519 | ep_time: 0.3s
Ep 1325/45000 (937s) | R: -146.0 | SWAPs: 179 | Gates: 81% | Done: 76% | Loss: 0.008 | Q: -1.2 | ε: 0.943 | Steps: 285006 | ep_time: 0.4s
