============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run16_multi_low_eps.json
Job ID:     162869
Node:       sh03
Extra args: 
Start time: Sat Mar 28 09:45:18 AM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run16_multi_low_eps.json) ==========

Using config file: configs/run16_multi_low_eps.json
Run directory: outputs/run_016
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 775/45000 (543s) | R: -189.4 | SWAPs: 220 | Gates: 74% | Done: 68% | Loss: 0.011 | Q: -1.0 | ε: 0.962 | Steps: 174308 | ep_time: 0.2s
Ep 800/45000 (564s) | R: -226.6 | SWAPs: 245 | Gates: 60% | Done: 52% | Loss: 0.010 | Q: -1.0 | ε: 0.961 | Steps: 180429 | ep_time: 1.3s
Ep 825/45000 (578s) | R: -161.7 | SWAPs: 191 | Gates: 77% | Done: 72% | Loss: 0.010 | Q: -1.0 | ε: 0.960 | Steps: 185214 | ep_time: 0.2s
Ep 850/45000 (591s) | R: -153.5 | SWAPs: 182 | Gates: 77% | Done: 72% | Loss: 0.009 | Q: -1.0 | ε: 0.959 | Steps: 189752 | ep_time: 1.3s
Ep 875/45000 (604s) | R: -134.7 | SWAPs: 165 | Gates: 83% | Done: 80% | Loss: 0.009 | Q: -1.0 | ε: 0.958 | Steps: 193878 | ep_time: 0.2s
Ep 900/45000 (621s) | R: -176.6 | SWAPs: 208 | Gates: 73% | Done: 68% | Loss: 0.011 | Q: -1.0 | ε: 0.957 | Steps: 199071 | ep_time: 1.3s
Ep 925/45000 (634s) | R: -134.5 | SWAPs: 168 | Gates: 84% | Done: 80% | Loss: 0.009 | Q: -1.0 | ε: 0.956 | Steps: 203262 | ep_time: 1.4s
Ep 950/45000 (651s) | R: -182.4 | SWAPs: 207 | Gates: 70% | Done: 64% | Loss: 0.010 | Q: -1.0 | ε: 0.955 | Steps: 208446 | ep_time: 1.3s
Ep 975/45000 (667s) | R: -177.9 | SWAPs: 205 | Gates: 73% | Done: 68% | Loss: 0.010 | Q: -1.0 | ε: 0.953 | Steps: 213563 | ep_time: 0.5s
Ep 1000/45000 (684s) | R: -181.4 | SWAPs: 210 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.952 | Steps: 218801 | ep_time: 1.4s

--- Evaluation at episode 1000 ---
  EVAL | Agent: 172.1 SABRE: 76.3 | Ratio: 1.79 | Done: 63%
Saved: outputs/run_016/figures/training_curves.png
Saved: outputs/run_016/figures/eval_comparison_ep1000.png
Ep 1025/45000 (739s) | R: -208.3 | SWAPs: 234 | Gates: 67% | Done: 60% | Loss: 0.010 | Q: -1.1 | ε: 0.951 | Steps: 224662 | ep_time: 1.4s
Ep 1050/45000 (757s) | R: -188.6 | SWAPs: 210 | Gates: 70% | Done: 64% | Loss: 0.009 | Q: -1.1 | ε: 0.950 | Steps: 229924 | ep_time: 0.2s
Ep 1075/45000 (777s) | R: -223.2 | SWAPs: 247 | Gates: 63% | Done: 56% | Loss: 0.009 | Q: -1.1 | ε: 0.949 | Steps: 236107 | ep_time: 0.5s
Ep 1100/45000 (794s) | R: -176.3 | SWAPs: 208 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.947 | Steps: 241317 | ep_time: 0.1s
Ep 1125/45000 (813s) | R: -217.8 | SWAPs: 239 | Gates: 64% | Done: 56% | Loss: 0.007 | Q: -1.1 | ε: 0.946 | Steps: 247301 | ep_time: 1.3s
Ep 1150/45000 (825s) | R: -121.4 | SWAPs: 160 | Gates: 90% | Done: 88% | Loss: 0.011 | Q: -1.1 | ε: 0.945 | Steps: 251289 | ep_time: 0.2s
Ep 1175/45000 (843s) | R: -188.0 | SWAPs: 214 | Gates: 70% | Done: 64% | Loss: 0.006 | Q: -1.1 | ε: 0.944 | Steps: 256633 | ep_time: 1.4s
Ep 1200/45000 (859s) | R: -168.7 | SWAPs: 196 | Gates: 74% | Done: 68% | Loss: 0.009 | Q: -1.1 | ε: 0.943 | Steps: 261531 | ep_time: 0.2s
Ep 1225/45000 (876s) | R: -183.0 | SWAPs: 216 | Gates: 74% | Done: 68% | Loss: 0.009 | Q: -1.1 | ε: 0.942 | Steps: 266920 | ep_time: 0.3s
Ep 1250/45000 (891s) | R: -163.0 | SWAPs: 193 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.1 | ε: 0.941 | Steps: 271742 | ep_time: 0.3s
Ep 1275/45000 (908s) | R: -175.3 | SWAPs: 206 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.940 | Steps: 276881 | ep_time: 1.4s
